time,module,action
114.3122,g,MODIFIED
114.3122,manual,COMMAND: press_key
114.3122,manual,PREPARATION COMPLETE
114.3122,PROCEDURAL,CONFLICT RESOLUTION
114.3122,PROCEDURAL,RULE SELECTED: reset_goal
114.3622,manual,INITIATION COMPLETE
114.3622,PROCEDURAL,RULE FIRED: reset_goal
114.3622,g,MODIFIED
114.3622,PROCEDURAL,CONFLICT RESOLUTION
114.3622,PROCEDURAL,RULE SELECTED: encode_letter
114.4122,PROCEDURAL,RULE FIRED: encode_letter
114.4122,g,MODIFIED
114.4122,g2,CLEARED
114.4122,PROCEDURAL,CONFLICT RESOLUTION
114.4122,PROCEDURAL,NO RULE FOUND
114.4622,manual,KEY PRESSED: 1
114.4622,PROCEDURAL,CONFLICT RESOLUTION
114.4622,PROCEDURAL,NO RULE FOUND
114.6122,manual,MOVEMENT FINISHED
114.6122,g2,CREATED A CHUNK: image(img= A)
114.6122,PROCEDURAL,CONFLICT RESOLUTION
114.6122,PROCEDURAL,RULE SELECTED: respond_to_A
114.6622,PROCEDURAL,RULE FIRED: respond_to_A
114.6622,g,MODIFIED
114.6622,manual,COMMAND: press_key
114.6622,manual,PREPARATION COMPLETE
114.6622,PROCEDURAL,CONFLICT RESOLUTION
114.6622,PROCEDURAL,RULE SELECTED: reset_goal
114.7122,manual,INITIATION COMPLETE
114.7122,PROCEDURAL,RULE FIRED: reset_goal
114.7122,g,MODIFIED
114.7122,PROCEDURAL,CONFLICT RESOLUTION
114.7122,PROCEDURAL,RULE SELECTED: encode_letter
114.7622,PROCEDURAL,RULE FIRED: encode_letter
114.7622,g,MODIFIED
114.7622,g2,CLEARED
114.7622,PROCEDURAL,CONFLICT RESOLUTION
114.7622,PROCEDURAL,NO RULE FOUND
114.8122,manual,KEY PRESSED: 1
114.8122,PROCEDURAL,CONFLICT RESOLUTION
114.8122,PROCEDURAL,NO RULE FOUND
114.9622,manual,MOVEMENT FINISHED
114.9622,g2,CREATED A CHUNK: image(img= A)
114.9622,PROCEDURAL,CONFLICT RESOLUTION
114.9622,PROCEDURAL,RULE SELECTED: respond_to_A
115.0044,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
115.0122,PROCEDURAL,RULE FIRED: respond_to_A
115.0122,g,MODIFIED
115.0122,manual,COMMAND: press_key
115.0122,manual,PREPARATION COMPLETE
115.0122,PROCEDURAL,CONFLICT RESOLUTION
115.0122,PROCEDURAL,RULE SELECTED: reset_goal
115.0622,manual,INITIATION COMPLETE
115.0622,PROCEDURAL,RULE FIRED: reset_goal
115.0622,g,MODIFIED
115.0622,PROCEDURAL,CONFLICT RESOLUTION
115.0622,PROCEDURAL,RULE SELECTED: encode_letter
115.1122,PROCEDURAL,RULE FIRED: encode_letter
115.1122,g,MODIFIED
115.1122,g2,CLEARED
115.1122,PROCEDURAL,CONFLICT RESOLUTION
115.1122,PROCEDURAL,NO RULE FOUND
115.1622,manual,KEY PRESSED: 1
115.1622,PROCEDURAL,CONFLICT RESOLUTION
115.1622,PROCEDURAL,NO RULE FOUND
115.3122,manual,MOVEMENT FINISHED
115.3122,g2,CREATED A CHUNK: image(img=  )
115.3122,PROCEDURAL,CONFLICT RESOLUTION
115.3122,PROCEDURAL,RULE SELECTED: ignore_non_A
115.3622,PROCEDURAL,RULE FIRED: ignore_non_A
115.3622,g,MODIFIED
115.3622,PROCEDURAL,CONFLICT RESOLUTION
115.3622,PROCEDURAL,RULE SELECTED: reset_goal
115.4122,PROCEDURAL,RULE FIRED: reset_goal
115.4122,g,MODIFIED
115.4122,PROCEDURAL,CONFLICT RESOLUTION
115.4122,PROCEDURAL,RULE SELECTED: encode_letter
115.4622,PROCEDURAL,RULE FIRED: encode_letter
115.4622,g,MODIFIED
115.4622,g2,CLEARED
115.4622,PROCEDURAL,CONFLICT RESOLUTION
115.4622,PROCEDURAL,NO RULE FOUND
115.6622,g2,CREATED A CHUNK: image(img=  )
115.6622,PROCEDURAL,CONFLICT RESOLUTION
115.6622,PROCEDURAL,RULE SELECTED: ignore_non_A
115.7122,PROCEDURAL,RULE FIRED: ignore_non_A
115.7122,g,MODIFIED
115.7122,PROCEDURAL,CONFLICT RESOLUTION
115.7122,PROCEDURAL,RULE SELECTED: reset_goal
115.7622,PROCEDURAL,RULE FIRED: reset_goal
115.7622,g,MODIFIED
115.7622,PROCEDURAL,CONFLICT RESOLUTION
115.7622,PROCEDURAL,RULE SELECTED: encode_letter
115.8122,PROCEDURAL,RULE FIRED: encode_letter
115.8122,g,MODIFIED
115.8122,g2,CLEARED
115.8122,PROCEDURAL,CONFLICT RESOLUTION
115.8122,PROCEDURAL,NO RULE FOUND
116.0,PROCEDURAL,CONFLICT RESOLUTION
116.0,PROCEDURAL,NO RULE FOUND
116.0104,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
116.0104,PROCEDURAL,CONFLICT RESOLUTION
116.0104,PROCEDURAL,NO RULE FOUND
116.0122,g2,CREATED A CHUNK: image(img=  )
116.0122,PROCEDURAL,CONFLICT RESOLUTION
116.0122,PROCEDURAL,RULE SELECTED: ignore_non_A
116.0622,PROCEDURAL,RULE FIRED: ignore_non_A
116.0622,g,MODIFIED
116.0622,PROCEDURAL,CONFLICT RESOLUTION
116.0622,PROCEDURAL,RULE SELECTED: reset_goal
116.1122,PROCEDURAL,RULE FIRED: reset_goal
116.1122,g,MODIFIED
116.1122,PROCEDURAL,CONFLICT RESOLUTION
116.1122,PROCEDURAL,RULE SELECTED: encode_letter
116.1622,PROCEDURAL,RULE FIRED: encode_letter
116.1622,g,MODIFIED
116.1622,g2,CLEARED
116.1622,PROCEDURAL,CONFLICT RESOLUTION
116.1622,PROCEDURAL,NO RULE FOUND
116.3622,g2,CREATED A CHUNK: image(img= A)
116.3622,PROCEDURAL,CONFLICT RESOLUTION
116.3622,PROCEDURAL,RULE SELECTED: respond_to_A
116.4122,PROCEDURAL,RULE FIRED: respond_to_A
116.4122,g,MODIFIED
116.4122,manual,COMMAND: press_key
116.4122,manual,PREPARATION COMPLETE
116.4122,PROCEDURAL,CONFLICT RESOLUTION
116.4122,PROCEDURAL,RULE SELECTED: reset_goal
116.4622,manual,INITIATION COMPLETE
116.4622,PROCEDURAL,RULE FIRED: reset_goal
116.4622,g,MODIFIED
116.4622,PROCEDURAL,CONFLICT RESOLUTION
116.4622,PROCEDURAL,RULE SELECTED: encode_letter
116.5122,PROCEDURAL,RULE FIRED: encode_letter
116.5122,g,MODIFIED
116.5122,g2,CLEARED
116.5122,PROCEDURAL,CONFLICT RESOLUTION
116.5122,PROCEDURAL,NO RULE FOUND
116.5622,manual,KEY PRESSED: 1
116.5622,PROCEDURAL,CONFLICT RESOLUTION
116.5622,PROCEDURAL,NO RULE FOUND
116.7122,manual,MOVEMENT FINISHED
116.7122,g2,CREATED A CHUNK: image(img= A)
116.7122,PROCEDURAL,CONFLICT RESOLUTION
116.7122,PROCEDURAL,RULE SELECTED: respond_to_A
116.7622,PROCEDURAL,RULE FIRED: respond_to_A
116.7622,g,MODIFIED
116.7622,manual,COMMAND: press_key
116.7622,manual,PREPARATION COMPLETE
116.7622,PROCEDURAL,CONFLICT RESOLUTION
116.7622,PROCEDURAL,RULE SELECTED: reset_goal
116.8122,manual,INITIATION COMPLETE
116.8122,PROCEDURAL,RULE FIRED: reset_goal
116.8122,g,MODIFIED
116.8122,PROCEDURAL,CONFLICT RESOLUTION
116.8122,PROCEDURAL,RULE SELECTED: encode_letter
116.8622,PROCEDURAL,RULE FIRED: encode_letter
116.8622,g,MODIFIED
116.8622,g2,CLEARED
116.8622,PROCEDURAL,CONFLICT RESOLUTION
116.8622,PROCEDURAL,NO RULE FOUND
116.9122,manual,KEY PRESSED: 1
116.9122,PROCEDURAL,CONFLICT RESOLUTION
116.9122,PROCEDURAL,NO RULE FOUND
117.0,PROCEDURAL,CONFLICT RESOLUTION
117.0,PROCEDURAL,NO RULE FOUND
117.01,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
117.01,PROCEDURAL,CONFLICT RESOLUTION
117.01,PROCEDURAL,NO RULE FOUND
117.0622,manual,MOVEMENT FINISHED
117.0622,g2,CREATED A CHUNK: image(img= A)
117.0622,PROCEDURAL,CONFLICT RESOLUTION
117.0622,PROCEDURAL,RULE SELECTED: respond_to_A
117.1122,PROCEDURAL,RULE FIRED: respond_to_A
117.1122,g,MODIFIED
117.1122,manual,COMMAND: press_key
117.1122,manual,PREPARATION COMPLETE
117.1122,PROCEDURAL,CONFLICT RESOLUTION
117.1122,PROCEDURAL,RULE SELECTED: reset_goal
117.1622,manual,INITIATION COMPLETE
117.1622,PROCEDURAL,RULE FIRED: reset_goal
117.1622,g,MODIFIED
117.1622,PROCEDURAL,CONFLICT RESOLUTION
117.1622,PROCEDURAL,RULE SELECTED: encode_letter
117.2122,PROCEDURAL,RULE FIRED: encode_letter
117.2122,g,MODIFIED
117.2122,g2,CLEARED
117.2122,PROCEDURAL,CONFLICT RESOLUTION
117.2122,PROCEDURAL,NO RULE FOUND
117.2622,manual,KEY PRESSED: 1
117.2622,PROCEDURAL,CONFLICT RESOLUTION
117.2622,PROCEDURAL,NO RULE FOUND
117.4122,manual,MOVEMENT FINISHED
117.4122,g2,CREATED A CHUNK: image(img=  )
117.4122,PROCEDURAL,CONFLICT RESOLUTION
117.4122,PROCEDURAL,RULE SELECTED: ignore_non_A
117.4622,PROCEDURAL,RULE FIRED: ignore_non_A
117.4622,g,MODIFIED
117.4622,PROCEDURAL,CONFLICT RESOLUTION
117.4622,PROCEDURAL,RULE SELECTED: reset_goal
117.5122,PROCEDURAL,RULE FIRED: reset_goal
117.5122,g,MODIFIED
117.5122,PROCEDURAL,CONFLICT RESOLUTION
117.5122,PROCEDURAL,RULE SELECTED: encode_letter
117.5622,PROCEDURAL,RULE FIRED: encode_letter
117.5622,g,MODIFIED
117.5622,g2,CLEARED
117.5622,PROCEDURAL,CONFLICT RESOLUTION
117.5622,PROCEDURAL,NO RULE FOUND
117.7622,g2,CREATED A CHUNK: image(img=  )
117.7622,PROCEDURAL,CONFLICT RESOLUTION
117.7622,PROCEDURAL,RULE SELECTED: ignore_non_A
117.8122,PROCEDURAL,RULE FIRED: ignore_non_A
117.8122,g,MODIFIED
117.8122,PROCEDURAL,CONFLICT RESOLUTION
117.8122,PROCEDURAL,RULE SELECTED: reset_goal
117.8622,PROCEDURAL,RULE FIRED: reset_goal
117.8622,g,MODIFIED
117.8622,PROCEDURAL,CONFLICT RESOLUTION
117.8622,PROCEDURAL,RULE SELECTED: encode_letter
117.9122,PROCEDURAL,RULE FIRED: encode_letter
117.9122,g,MODIFIED
117.9122,g2,CLEARED
117.9122,PROCEDURAL,CONFLICT RESOLUTION
117.9122,PROCEDURAL,NO RULE FOUND
118.0,PROCEDURAL,CONFLICT RESOLUTION
118.0,PROCEDURAL,NO RULE FOUND
118.0106,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
118.0106,PROCEDURAL,CONFLICT RESOLUTION
118.0106,PROCEDURAL,NO RULE FOUND
118.1122,g2,CREATED A CHUNK: image(img=  )
118.1122,PROCEDURAL,CONFLICT RESOLUTION
118.1122,PROCEDURAL,RULE SELECTED: ignore_non_A
118.1622,PROCEDURAL,RULE FIRED: ignore_non_A
118.1622,g,MODIFIED
118.1622,PROCEDURAL,CONFLICT RESOLUTION
118.1622,PROCEDURAL,RULE SELECTED: reset_goal
118.2122,PROCEDURAL,RULE FIRED: reset_goal
118.2122,g,MODIFIED
118.2122,PROCEDURAL,CONFLICT RESOLUTION
118.2122,PROCEDURAL,RULE SELECTED: encode_letter
118.2622,PROCEDURAL,RULE FIRED: encode_letter
118.2622,g,MODIFIED
118.2622,g2,CLEARED
118.2622,PROCEDURAL,CONFLICT RESOLUTION
118.2622,PROCEDURAL,NO RULE FOUND
118.4622,g2,CREATED A CHUNK: image(img= A)
118.4622,PROCEDURAL,CONFLICT RESOLUTION
118.4622,PROCEDURAL,RULE SELECTED: respond_to_A
118.5122,PROCEDURAL,RULE FIRED: respond_to_A
118.5122,g,MODIFIED
118.5122,manual,COMMAND: press_key
118.5122,manual,PREPARATION COMPLETE
118.5122,PROCEDURAL,CONFLICT RESOLUTION
118.5122,PROCEDURAL,RULE SELECTED: reset_goal
118.5622,manual,INITIATION COMPLETE
118.5622,PROCEDURAL,RULE FIRED: reset_goal
118.5622,g,MODIFIED
118.5622,PROCEDURAL,CONFLICT RESOLUTION
118.5622,PROCEDURAL,RULE SELECTED: encode_letter
118.6122,PROCEDURAL,RULE FIRED: encode_letter
118.6122,g,MODIFIED
118.6122,g2,CLEARED
118.6122,PROCEDURAL,CONFLICT RESOLUTION
118.6122,PROCEDURAL,NO RULE FOUND
118.6622,manual,KEY PRESSED: 1
118.6622,PROCEDURAL,CONFLICT RESOLUTION
118.6622,PROCEDURAL,NO RULE FOUND
118.8122,manual,MOVEMENT FINISHED
118.8122,g2,CREATED A CHUNK: image(img= A)
118.8122,PROCEDURAL,CONFLICT RESOLUTION
118.8122,PROCEDURAL,RULE SELECTED: respond_to_A
118.8622,PROCEDURAL,RULE FIRED: respond_to_A
118.8622,g,MODIFIED
118.8622,manual,COMMAND: press_key
118.8622,manual,PREPARATION COMPLETE
118.8622,PROCEDURAL,CONFLICT RESOLUTION
118.8622,PROCEDURAL,RULE SELECTED: reset_goal
118.9122,manual,INITIATION COMPLETE
118.9122,PROCEDURAL,RULE FIRED: reset_goal
118.9122,g,MODIFIED
118.9122,PROCEDURAL,CONFLICT RESOLUTION
118.9122,PROCEDURAL,RULE SELECTED: encode_letter
118.9622,PROCEDURAL,RULE FIRED: encode_letter
118.9622,g,MODIFIED
118.9622,g2,CLEARED
118.9622,PROCEDURAL,CONFLICT RESOLUTION
118.9622,PROCEDURAL,NO RULE FOUND
119.0,PROCEDURAL,CONFLICT RESOLUTION
119.0,PROCEDURAL,NO RULE FOUND
119.0122,manual,KEY PRESSED: 1
119.0122,PROCEDURAL,CONFLICT RESOLUTION
119.0122,PROCEDURAL,NO RULE FOUND
119.013,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
119.013,PROCEDURAL,CONFLICT RESOLUTION
119.013,PROCEDURAL,NO RULE FOUND
119.1622,manual,MOVEMENT FINISHED
119.1622,g2,CREATED A CHUNK: image(img= A)
119.1622,PROCEDURAL,CONFLICT RESOLUTION
119.1622,PROCEDURAL,RULE SELECTED: respond_to_A
119.2122,PROCEDURAL,RULE FIRED: respond_to_A
119.2122,g,MODIFIED
119.2122,manual,COMMAND: press_key
119.2122,manual,PREPARATION COMPLETE
119.2122,PROCEDURAL,CONFLICT RESOLUTION
119.2122,PROCEDURAL,RULE SELECTED: reset_goal
119.2622,manual,INITIATION COMPLETE
119.2622,PROCEDURAL,RULE FIRED: reset_goal
119.2622,g,MODIFIED
119.2622,PROCEDURAL,CONFLICT RESOLUTION
119.2622,PROCEDURAL,RULE SELECTED: encode_letter
119.3122,PROCEDURAL,RULE FIRED: encode_letter
119.3122,g,MODIFIED
119.3122,g2,CLEARED
119.3122,PROCEDURAL,CONFLICT RESOLUTION
119.3122,PROCEDURAL,NO RULE FOUND
119.3622,manual,KEY PRESSED: 1
119.3622,PROCEDURAL,CONFLICT RESOLUTION
119.3622,PROCEDURAL,NO RULE FOUND
119.5122,manual,MOVEMENT FINISHED
119.5122,g2,CREATED A CHUNK: image(img=  )
119.5122,PROCEDURAL,CONFLICT RESOLUTION
119.5122,PROCEDURAL,RULE SELECTED: ignore_non_A
119.5622,PROCEDURAL,RULE FIRED: ignore_non_A
119.5622,g,MODIFIED
119.5622,PROCEDURAL,CONFLICT RESOLUTION
119.5622,PROCEDURAL,RULE SELECTED: reset_goal
119.6122,PROCEDURAL,RULE FIRED: reset_goal
119.6122,g,MODIFIED
119.6122,PROCEDURAL,CONFLICT RESOLUTION
119.6122,PROCEDURAL,RULE SELECTED: encode_letter
119.6622,PROCEDURAL,RULE FIRED: encode_letter
119.6622,g,MODIFIED
119.6622,g2,CLEARED
119.6622,PROCEDURAL,CONFLICT RESOLUTION
119.6622,PROCEDURAL,NO RULE FOUND
119.8622,g2,CREATED A CHUNK: image(img=  )
119.8622,PROCEDURAL,CONFLICT RESOLUTION
119.8622,PROCEDURAL,RULE SELECTED: ignore_non_A
119.9122,PROCEDURAL,RULE FIRED: ignore_non_A
119.9122,g,MODIFIED
119.9122,PROCEDURAL,CONFLICT RESOLUTION
119.9122,PROCEDURAL,RULE SELECTED: reset_goal
119.9622,PROCEDURAL,RULE FIRED: reset_goal
119.9622,g,MODIFIED
119.9622,PROCEDURAL,CONFLICT RESOLUTION
119.9622,PROCEDURAL,RULE SELECTED: encode_letter
120.0087,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= O)"
120.0122,PROCEDURAL,RULE FIRED: encode_letter
120.0122,g,MODIFIED
120.0122,g2,CLEARED
120.0122,PROCEDURAL,CONFLICT RESOLUTION
120.0122,PROCEDURAL,NO RULE FOUND
120.2122,g2,CREATED A CHUNK: image(img= O)
120.2122,PROCEDURAL,CONFLICT RESOLUTION
120.2122,PROCEDURAL,RULE SELECTED: ignore_non_A
120.2622,PROCEDURAL,RULE FIRED: ignore_non_A
120.2622,g,MODIFIED
120.2622,PROCEDURAL,CONFLICT RESOLUTION
120.2622,PROCEDURAL,RULE SELECTED: reset_goal
120.3122,PROCEDURAL,RULE FIRED: reset_goal
120.3122,g,MODIFIED
120.3122,PROCEDURAL,CONFLICT RESOLUTION
120.3122,PROCEDURAL,RULE SELECTED: encode_letter
120.3622,PROCEDURAL,RULE FIRED: encode_letter
120.3622,g,MODIFIED
120.3622,g2,CLEARED
120.3622,PROCEDURAL,CONFLICT RESOLUTION
120.3622,PROCEDURAL,NO RULE FOUND
120.5622,g2,CREATED A CHUNK: image(img= O)
120.5622,PROCEDURAL,CONFLICT RESOLUTION
120.5622,PROCEDURAL,RULE SELECTED: ignore_non_A
120.6122,PROCEDURAL,RULE FIRED: ignore_non_A
120.6122,g,MODIFIED
120.6122,PROCEDURAL,CONFLICT RESOLUTION
120.6122,PROCEDURAL,RULE SELECTED: reset_goal
120.6622,PROCEDURAL,RULE FIRED: reset_goal
120.6622,g,MODIFIED
120.6622,PROCEDURAL,CONFLICT RESOLUTION
120.6622,PROCEDURAL,RULE SELECTED: encode_letter
120.7122,PROCEDURAL,RULE FIRED: encode_letter
120.7122,g,MODIFIED
120.7122,g2,CLEARED
120.7122,PROCEDURAL,CONFLICT RESOLUTION
120.7122,PROCEDURAL,NO RULE FOUND
120.9122,g2,CREATED A CHUNK: image(img= O)
120.9122,PROCEDURAL,CONFLICT RESOLUTION
120.9122,PROCEDURAL,RULE SELECTED: ignore_non_A
120.9622,PROCEDURAL,RULE FIRED: ignore_non_A
120.9622,g,MODIFIED
120.9622,PROCEDURAL,CONFLICT RESOLUTION
120.9622,PROCEDURAL,RULE SELECTED: reset_goal
121.0099,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
121.0122,PROCEDURAL,RULE FIRED: reset_goal
121.0122,g,MODIFIED
121.0122,PROCEDURAL,CONFLICT RESOLUTION
121.0122,PROCEDURAL,RULE SELECTED: encode_letter
121.0622,PROCEDURAL,RULE FIRED: encode_letter
121.0622,g,MODIFIED
121.0622,g2,CLEARED
121.0622,PROCEDURAL,CONFLICT RESOLUTION
121.0622,PROCEDURAL,NO RULE FOUND
121.2622,g2,CREATED A CHUNK: image(img=  )
121.2622,PROCEDURAL,CONFLICT RESOLUTION
121.2622,PROCEDURAL,RULE SELECTED: ignore_non_A
121.3122,PROCEDURAL,RULE FIRED: ignore_non_A
121.3122,g,MODIFIED
121.3122,PROCEDURAL,CONFLICT RESOLUTION
121.3122,PROCEDURAL,RULE SELECTED: reset_goal
121.3622,PROCEDURAL,RULE FIRED: reset_goal
121.3622,g,MODIFIED
121.3622,PROCEDURAL,CONFLICT RESOLUTION
121.3622,PROCEDURAL,RULE SELECTED: encode_letter
121.4122,PROCEDURAL,RULE FIRED: encode_letter
121.4122,g,MODIFIED
121.4122,g2,CLEARED
121.4122,PROCEDURAL,CONFLICT RESOLUTION
121.4122,PROCEDURAL,NO RULE FOUND
121.6122,g2,CREATED A CHUNK: image(img=  )
121.6122,PROCEDURAL,CONFLICT RESOLUTION
121.6122,PROCEDURAL,RULE SELECTED: ignore_non_A
121.6622,PROCEDURAL,RULE FIRED: ignore_non_A
121.6622,g,MODIFIED
121.6622,PROCEDURAL,CONFLICT RESOLUTION
121.6622,PROCEDURAL,RULE SELECTED: reset_goal
121.7122,PROCEDURAL,RULE FIRED: reset_goal
121.7122,g,MODIFIED
121.7122,PROCEDURAL,CONFLICT RESOLUTION
121.7122,PROCEDURAL,RULE SELECTED: encode_letter
121.7622,PROCEDURAL,RULE FIRED: encode_letter
121.7622,g,MODIFIED
121.7622,g2,CLEARED
121.7622,PROCEDURAL,CONFLICT RESOLUTION
121.7622,PROCEDURAL,NO RULE FOUND
121.9622,g2,CREATED A CHUNK: image(img=  )
121.9622,PROCEDURAL,CONFLICT RESOLUTION
121.9622,PROCEDURAL,RULE SELECTED: ignore_non_A
122.0122,PROCEDURAL,RULE FIRED: ignore_non_A
122.0122,g,MODIFIED
122.0122,PROCEDURAL,CONFLICT RESOLUTION
122.0122,PROCEDURAL,RULE SELECTED: reset_goal
122.0166,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
122.0622,PROCEDURAL,RULE FIRED: reset_goal
122.0622,g,MODIFIED
122.0622,PROCEDURAL,CONFLICT RESOLUTION
122.0622,PROCEDURAL,RULE SELECTED: encode_letter
122.1122,PROCEDURAL,RULE FIRED: encode_letter
122.1122,g,MODIFIED
122.1122,g2,CLEARED
122.1122,PROCEDURAL,CONFLICT RESOLUTION
122.1122,PROCEDURAL,NO RULE FOUND
122.3122,g2,CREATED A CHUNK: image(img= A)
122.3122,PROCEDURAL,CONFLICT RESOLUTION
122.3122,PROCEDURAL,RULE SELECTED: respond_to_A
122.3622,PROCEDURAL,RULE FIRED: respond_to_A
122.3622,g,MODIFIED
122.3622,manual,COMMAND: press_key
122.3622,manual,PREPARATION COMPLETE
122.3622,PROCEDURAL,CONFLICT RESOLUTION
122.3622,PROCEDURAL,RULE SELECTED: reset_goal
122.4122,manual,INITIATION COMPLETE
122.4122,PROCEDURAL,RULE FIRED: reset_goal
122.4122,g,MODIFIED
122.4122,PROCEDURAL,CONFLICT RESOLUTION
122.4122,PROCEDURAL,RULE SELECTED: encode_letter
122.4622,PROCEDURAL,RULE FIRED: encode_letter
122.4622,g,MODIFIED
122.4622,g2,CLEARED
122.4622,PROCEDURAL,CONFLICT RESOLUTION
122.4622,PROCEDURAL,NO RULE FOUND
122.5122,manual,KEY PRESSED: 1
122.5122,PROCEDURAL,CONFLICT RESOLUTION
122.5122,PROCEDURAL,NO RULE FOUND
122.6622,manual,MOVEMENT FINISHED
122.6622,g2,CREATED A CHUNK: image(img= A)
122.6622,PROCEDURAL,CONFLICT RESOLUTION
122.6622,PROCEDURAL,RULE SELECTED: respond_to_A
122.7122,PROCEDURAL,RULE FIRED: respond_to_A
122.7122,g,MODIFIED
122.7122,manual,COMMAND: press_key
122.7122,manual,PREPARATION COMPLETE
122.7122,PROCEDURAL,CONFLICT RESOLUTION
122.7122,PROCEDURAL,RULE SELECTED: reset_goal
122.7622,manual,INITIATION COMPLETE
122.7622,PROCEDURAL,RULE FIRED: reset_goal
122.7622,g,MODIFIED
122.7622,PROCEDURAL,CONFLICT RESOLUTION
122.7622,PROCEDURAL,RULE SELECTED: encode_letter
122.8122,PROCEDURAL,RULE FIRED: encode_letter
122.8122,g,MODIFIED
122.8122,g2,CLEARED
122.8122,PROCEDURAL,CONFLICT RESOLUTION
122.8122,PROCEDURAL,NO RULE FOUND
122.8622,manual,KEY PRESSED: 1
122.8622,PROCEDURAL,CONFLICT RESOLUTION
122.8622,PROCEDURAL,NO RULE FOUND
123.0,PROCEDURAL,CONFLICT RESOLUTION
123.0,PROCEDURAL,NO RULE FOUND
123.0099,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
123.0099,PROCEDURAL,CONFLICT RESOLUTION
123.0099,PROCEDURAL,NO RULE FOUND
123.0122,manual,MOVEMENT FINISHED
123.0122,g2,CREATED A CHUNK: image(img= A)
123.0122,PROCEDURAL,CONFLICT RESOLUTION
123.0122,PROCEDURAL,RULE SELECTED: respond_to_A
123.0622,PROCEDURAL,RULE FIRED: respond_to_A
123.0622,g,MODIFIED
123.0622,manual,COMMAND: press_key
123.0622,manual,PREPARATION COMPLETE
123.0622,PROCEDURAL,CONFLICT RESOLUTION
123.0622,PROCEDURAL,RULE SELECTED: reset_goal
123.1122,manual,INITIATION COMPLETE
123.1122,PROCEDURAL,RULE FIRED: reset_goal
123.1122,g,MODIFIED
123.1122,PROCEDURAL,CONFLICT RESOLUTION
123.1122,PROCEDURAL,RULE SELECTED: encode_letter
123.1622,PROCEDURAL,RULE FIRED: encode_letter
123.1622,g,MODIFIED
123.1622,g2,CLEARED
123.1622,PROCEDURAL,CONFLICT RESOLUTION
123.1622,PROCEDURAL,NO RULE FOUND
123.2122,manual,KEY PRESSED: 1
123.2122,PROCEDURAL,CONFLICT RESOLUTION
123.2122,PROCEDURAL,NO RULE FOUND
123.3622,manual,MOVEMENT FINISHED
123.3622,g2,CREATED A CHUNK: image(img=  )
123.3622,PROCEDURAL,CONFLICT RESOLUTION
123.3622,PROCEDURAL,RULE SELECTED: ignore_non_A
123.4122,PROCEDURAL,RULE FIRED: ignore_non_A
123.4122,g,MODIFIED
123.4122,PROCEDURAL,CONFLICT RESOLUTION
123.4122,PROCEDURAL,RULE SELECTED: reset_goal
123.4622,PROCEDURAL,RULE FIRED: reset_goal
123.4622,g,MODIFIED
123.4622,PROCEDURAL,CONFLICT RESOLUTION
123.4622,PROCEDURAL,RULE SELECTED: encode_letter
123.5122,PROCEDURAL,RULE FIRED: encode_letter
123.5122,g,MODIFIED
123.5122,g2,CLEARED
123.5122,PROCEDURAL,CONFLICT RESOLUTION
123.5122,PROCEDURAL,NO RULE FOUND
123.7122,g2,CREATED A CHUNK: image(img=  )
123.7122,PROCEDURAL,CONFLICT RESOLUTION
123.7122,PROCEDURAL,RULE SELECTED: ignore_non_A
123.7622,PROCEDURAL,RULE FIRED: ignore_non_A
123.7622,g,MODIFIED
123.7622,PROCEDURAL,CONFLICT RESOLUTION
123.7622,PROCEDURAL,RULE SELECTED: reset_goal
123.8122,PROCEDURAL,RULE FIRED: reset_goal
123.8122,g,MODIFIED
123.8122,PROCEDURAL,CONFLICT RESOLUTION
123.8122,PROCEDURAL,RULE SELECTED: encode_letter
123.8622,PROCEDURAL,RULE FIRED: encode_letter
123.8622,g,MODIFIED
123.8622,g2,CLEARED
123.8622,PROCEDURAL,CONFLICT RESOLUTION
123.8622,PROCEDURAL,NO RULE FOUND
124.0,PROCEDURAL,CONFLICT RESOLUTION
124.0,PROCEDURAL,NO RULE FOUND
